x_value,total_1,total_2
0,1000,1000
1,1008,1001
2,1013,1007
3,1018,1006
4,1015,1001
5,1017,1000
6,1011,1000
7,1018,1005
8,1012,1010
9,1009,1011
10,1014,1011
11,1019,1009
12,1020,1014
13,1028,1013
14,1036,1011
15,1035,1010
16,1030,1011
17,1030,1016
18,1025,1019
19,1033,1020
20,1039,1025
21,1036,1022
22,1033,1028
23,1037,1034
24,1038,1031
25,1043,1031
26,1043,1033
27,1047,1031
28,1045,1026
29,1046,1029
30,1050,1031
31,1050,1026
32,1045,1030
33,1051,1030
34,1054,1025
35,1048,1030
36,1053,1031
37,1055,1029
38,1054,1027
39,1058,1031
40,1054,1036
41,1060,1033
42,1060,1030
43,1059,1029
44,1054,1026
45,1060,1024
46,1065,1021
47,1063,1027
48,1069,1026
49,1075,1022
50,1081,1025
51,1089,1023
52,1083,1029
53,1080,1032
54,1079,1038
55,1083,1043
56,1084,1043
57,1079,1044
58,1078,1040
59,1076,1042
60,1072,1042
61,1079,1042
62,1079,1046
63,1075,1041
64,1072,1047
65,1079,1047
66,1086,1051
67,1088,1051
68,1095,1056
69,1099,1058
70,1103,1059
71,1110,1056
72,1109,1054
73,1109,1058
74,1113,1062
75,1115,1067
76,1118,1066
77,1125,1061
78,1120,1066
79,1119,1070
